step,seam_mean,seam_lo,seam_hi,seam_n,crop_mean,crop_lo,crop_hi,crop_n
1,0.0,0.0,0.0,1,0.0,0.0,0.0,1
2,0.0,0.0,0.0,1,0.0,0.0,0.0,1
3,0.0,0.0,0.0,1,0.0,0.0,0.0,1
4,0.0,0.0,0.0,1,0.0,0.0,0.0,1
5,0.0,0.0,0.0,1,0.0,0.0,0.0,1
6,0.0,0.0,0.0,1,0.0,0.0,0.0,1
7,0.0,0.0,0.0,1,0.0,0.0,0.0,1
8,0.0,0.0,0.0,1,0.0,0.0,0.0,1
9,39.221032565331576,39.221032565331576,39.221032565331576,1,3.4919728406238972,3.4919728406238972,3.4919728406238972,1
10,39.221032565331576,39.221032565331576,39.221032565331576,1,6.285551113123015,6.285551113123015,6.285551113123015,1
11,76.29012913996733,76.29012913996733,76.29012913996733,1,8.584616826450189,8.584616826450189,8.584616826450189,1
12,76.29012913996733,76.29012913996733,76.29012913996733,1,10.500504920889497,10.500504920889497,10.500504920889497,1
13,76.29012913996733,76.29012913996733,76.29012913996733,1,9.724869544458825,9.724869544458825,9.724869544458825,1
14,76.29012913996733,76.29012913996733,76.29012913996733,1,9.060039221803965,9.060039221803965,9.060039221803965,1
15,76.29012913996733,76.29012913996733,76.29012913996733,1,8.48385294216975,8.48385294216975,8.48385294216975,1
16,76.29012913996733,76.29012913996733,76.29012913996733,1,7.979689947489813,7.979689947489813,7.979689947489813,1
17,76.29012913996733,76.29012913996733,76.29012913996733,1,7.534840246301634,7.534840246301634,7.534840246301634,1
18,76.29012913996733,76.29012913996733,76.29012913996733,1,7.139418289689919,7.139418289689919,7.139418289689919,1
19,76.29012913996733,76.29012913996733,76.29012913996733,1,6.785619696932069,6.785619696932069,6.785619696932069,1
20,76.29012913996733,76.29012913996733,76.29012913996733,1,6.467200963450003,6.467200963450003,6.467200963450003,1
21,76.29012913996733,76.29012913996733,76.29012913996733,1,6.179107823632897,6.179107823632897,6.179107823632897,1
22,76.29012913996733,76.29012913996733,76.29012913996733,1,5.917204969253708,5.917204969253708,5.917204969253708,1
23,76.29012913996733,76.29012913996733,76.29012913996733,1,5.678076276124885,5.678076276124885,5.678076276124885,1
24,76.29012913996733,76.29012913996733,76.29012913996733,1,5.458874974090129,5.458874974090129,5.458874974090129,1
25,76.29012913996733,76.29012913996733,76.29012913996733,1,5.257209776218154,5.257209776218154,5.257209776218154,1
26,76.29012913996733,76.29012913996733,76.29012913996733,1,5.071057285874793,5.071057285874793,5.071057285874793,1
27,76.29012913996733,76.29012913996733,76.29012913996733,1,4.8986938688901995,4.8986938688901995,4.8986938688901995,1
28,76.29012913996733,76.29012913996733,76.29012913996733,1,4.738642124547363,4.738642124547363,4.738642124547363,1
29,76.29012913996733,76.29012913996733,76.29012913996733,1,4.5896284315385145,4.5896284315385145,4.5896284315385145,1
30,76.29012913996733,76.29012913996733,76.29012913996733,1,4.450548984730257,4.450548984730257,4.450548984730257,1
